ticker,DropDate,Close,PctChange,Close+1M,Close+2M,Close+3M,Close+4M,Close+5M,Close+6M,Close+7M,Close+8M,Close+9M,Close+10M,Close+11M,Close+12M,Close+13M,Close+14M,Close+15M,Close+16M,Close+17M,Close+18M,Close+19M,Close+20M,Close+21M,Close+22M,Close+23M,Close+24M,Close+25M,Close+26M,Close+27M,Close+28M,Close+29M,Close+30M,Close+31M,Close+32M,Close+33M,Close+34M,Close+35M,Close+36M,Close+37M,Close+38M,Close+39M,Close+40M,Close+41M,Close+42M,Close+43M,Close+44M,Close+45M,Close+46M,Close+47M,Close+48M
NVDA,2018-11-16,4.07,-18.76%,3.559833526611328,3.69024658203125,3.8836352825164795,4.193159103393555,4.671169757843018,3.9757447242736816,3.603598117828369,4.151480197906494,3.9646294116973877,4.482156753540039,4.830362796783447,5.2797956466674805,5.604031085968018,6.195919513702393,7.381689548492432,4.891361236572266,7.339532375335693,8.717032432556152,9.038196563720703,10.100883483886719,12.2957763671875,12.47641372680664,13.769466400146484,13.474119186401367,13.206099510192871,12.989450454711914,15.288111686706543,13.259291648864746,15.874238014221191,14.131439208984375,17.77149200439453,18.12148094177246,19.906587600708008,22.19751739501953,22.177555084228516,30.142593383789062,28.33369255065918,25.85435676574707,26.461219787597656,24.45416831970215,21.745798110961914,17.234516143798828,15.577651977539062,16.076904296875,18.85074234008789,13.18216323852539,11.873733520507812,15.890907287597656
MSFT,2020-03-16,129.17,-14.74%,168.87075805664062,176.3776092529297,185.15225219726562,195.0522003173828,201.13560485839844,196.60716247558594,210.6156005859375,208.28561401367188,210.80166625976562,208.07150268554688,234.27749633789062,229.04542541503906,251.2359619140625,236.24314880371094,248.57106018066406,271.1412658691406,284.51727294921875,295.3380126953125,297.3409729003906,328.5178527832031,314.9560546875,293.3870849609375,290.933837890625,285.969970703125,272.4966125488281,254.02064514160156,238.5177001953125,247.55325317382812,285.0002746582031,238.7995147705078,231.76454162597656,236.52728271484375,239.42359924316406,235.17701721191406,257.1502685546875,270.9323425292969,283.2920227050781,305.7945251464844,336.53515625,339.87762451171875,315.64324951171875,324.1746826171875,327.7015686035156,371.3374938964844,367.8626708984375,385.2563171386719,399.60675048828125,412.72064208984375
NVDA,2018-11-19,3.58,-12.0%,3.434130907058716,3.688511371612549,3.8836352825164795,4.360933780670166,4.6776227951049805,3.7662734985351562,3.804612874984741,4.185274124145508,4.243414878845215,4.400826930999756,4.875133037567139,5.173099040985107,5.860647678375244,6.171278476715088,7.832948207855225,5.304037094116211,7.149007797241211,8.772073745727539,9.230303764343262,10.475631713867188,12.097941398620605,12.479157447814941,13.456673622131348,13.399346351623535,13.295601844787598,12.989450454711914,14.885470390319824,12.814861297607422,15.324810028076172,14.031929016113281,18.38715171813965,18.738889694213867,19.754920959472656,21.070775985717773,22.245420455932617,32.91902542114258,27.666954040527344,25.019927978515625,23.3460750579834,26.688343048095703,22.160091400146484,17.094758987426758,16.54120445251465,16.966569900512695,17.822288513183594,13.365942001342773,12.036538124084473,15.298620223999023
NVDA,2019-01-28,3.42,-13.82%,3.828568458557129,4.399156093597412,4.450778961181641,3.557297468185425,4.0806660652160645,4.3437981605529785,4.009840488433838,4.329444885253906,5.143250942230225,5.394704341888428,5.782492637634277,6.172025203704834,6.726119041442871,6.614544868469238,7.256349563598633,8.454782485961914,9.169258117675781,10.181364059448242,13.103814125061035,12.995329856872559,12.58857250213623,13.360713005065918,12.86453914642334,13.01512622833252,13.803701400756836,12.917115211486816,15.240015029907227,16.20543670654297,19.94151496887207,19.460569381713867,22.638633728027344,20.65760040283203,24.891117095947266,33.30924987792969,30.265064239501953,22.79711151123047,24.339208602905273,28.170806884765625,19.748212814331055,18.640117645263672,15.958080291748047,17.95708465576172,15.777348518371582,12.720717430114746,13.817399024963379,15.80800724029541,14.022744178771973,19.143903732299805
GOOGL,2020-03-16,53.28,-11.63%,62.440834045410156,68.78458404541016,71.82809448242188,75.22715759277344,75.29269409179688,75.08662414550781,77.84808349609375,88.09391021728516,87.25768280029297,88.6123275756836,104.8121109008789,103.48078918457031,113.35566711425781,113.66205596923828,119.94522857666016,126.10027313232422,137.36212158203125,142.6262969970703,141.79998779296875,146.8630828857422,143.45558166503906,135.06643676757812,136.79452514648438,132.3675537109375,126.80194091796875,113.66107940673828,105.30718231201172,108.28315734863281,120.86637115478516,102.09583282470703,99.28522491455078,98.17288970947266,89.64173126220703,90.6646728515625,94.85576629638672,99.63282775878906,105.24412536621094,118.6913833618164,122.683837890625,123.7961654663086,127.81841278076172,137.26329040527344,138.14720153808594,135.99205017089844,134.86981201171875,141.51397705078125,139.55746459960938,146.6684112548828
AVGO,2018-07-12,17.12,-13.74%,17.209579467773438,18.743186950683594,19.135271072387695,18.369686126708984,20.944875717163086,20.824426651000977,23.191837310791016,22.381675720214844,26.55136489868164,24.570669174194336,23.427474975585938,24.130664825439453,23.30626678466797,25.415029525756836,24.0344181060791,26.924592971801758,27.97160530090332,25.96041488647461,27.987730026245117,18.857887268066406,22.78479766845703,23.532541275024414,26.320154190063477,27.57083511352539,29.548471450805664,32.07786178588867,34.17829132080078,33.08528137207031,36.803131103515625,40.50481033325195,43.83342742919922,40.66524124145508,43.93533706665039,38.3679084777832,43.223167419433594,44.46967697143555,44.33326721191406,45.67903137207031,44.75223159790039,51.9398078918457,57.32910919189453,57.7274055480957,53.697628021240234,52.6971321105957,54.667144775390625,53.40574645996094,48.36481857299805,45.35061264038086
NVDA,2020-03-12,5.39,-12.24%,6.720640182495117,7.772880554199219,8.9026517868042,10.018660545349121,11.402021408081055,12.833076477050781,14.182703971862793,13.415797233581543,13.272168159484863,13.44768238067627,14.920125007629395,12.825085639953613,15.172429084777832,13.72541618347168,17.979541778564453,20.46786880493164,19.86168670654297,22.10769271850586,20.629653930664062,30.329219818115234,28.108123779296875,27.946422576904297,24.221431732177734,21.293577194213867,21.467273712158203,16.14737892150879,15.623581886291504,15.059426307678223,18.680999755859375,14.487593650817871,11.486200332641602,16.27544593811035,17.5184383392334,16.495403289794922,21.76742172241211,22.948209762573242,26.474472045898438,28.318044662475586,39.45549774169922,43.87252426147461,43.72362518310547,44.84356689453125,46.91733932495117,48.59135818481445,47.633113861083984,54.682579040527344,72.2117919921875,91.87125396728516
META,2018-07-26,175.18,-18.96%,176.3727264404297,165.92710876464844,144.47933959960938,135.5443878173828,133.35787963867188,146.56646728515625,163.12440490722656,166.65264892578125,190.31675720214844,183.1807403564453,186.5102081298828,198.52613830566406,179.25494384765625,179.0064697265625,188.2395477294922,197.7509307861328,206.51687622070312,213.55349731445312,195.99179077148438,162.33924865722656,186.35121154785156,230.77732849121094,214.75608825683594,232.06935119628906,302.0479736328125,255.24649047851562,275.41217041015625,276.10784912109375,275.30279541015625,280.3218688964844,256.04156494140625,281.28594970703125,301.1833190917969,325.6524658203125,353.4610595703125,370.17791748046875,362.1474609375,351.41363525390625,313.8750305175781,331.0790100097656,344.05902099609375,292.8248291015625,209.73704528808594,222.22007751464844,179.84132385253906,190.45591735839844,168.45155334472656,158.1748809814453
AVGO,2020-03-12,18.86,-11.05%,22.78479766845703,23.532541275024414,26.320154190063477,27.57083511352539,29.548471450805664,32.07786178588867,34.17829132080078,33.08528137207031,36.803131103515625,40.50481033325195,43.83342742919922,40.66524124145508,43.93533706665039,38.3679084777832,43.223167419433594,44.46967697143555,44.33326721191406,45.67903137207031,44.75223159790039,51.9398078918457,57.32910919189453,57.7274055480957,53.697628021240234,52.6971321105957,54.667144775390625,53.40574645996094,48.36481857299805,45.35061264038086,52.591712951660156,49.84355926513672,40.904808044433594,48.756683349609375,52.880699157714844,55.74647521972656,57.58381271362305,59.05424880981445,59.501487731933594,60.89567565917969,82.52828216552734,86.32311248779297,82.84573364257812,81.91651916503906,88.31954193115234,92.35028839111328,104.57516479492188,108.52433013916016,123.93766784667969,126.57122039794922
NVDA,2020-03-16,4.89,-18.45%,7.339532375335693,8.717032432556152,9.038196563720703,10.100883483886719,12.2957763671875,12.47641372680664,13.769466400146484,13.474119186401367,13.206099510192871,12.989450454711914,15.288111686706543,13.259291648864746,15.874238014221191,14.131439208984375,17.77149200439453,18.12148094177246,19.906587600708008,22.19751739501953,22.177555084228516,30.142593383789062,28.33369255065918,25.85435676574707,26.461219787597656,24.45416831970215,21.745798110961914,17.234516143798828,15.577651977539062,16.076904296875,18.85074234008789,13.18216323852539,11.873733520507812,15.890907287597656,16.55535125732422,17.68528175354004,21.981218338012695,25.521207809448242,26.9810791015625,29.190366744995117,42.66333770751953,46.4298095703125,43.456809997558594,43.940101623535156,46.067848205566406,49.45085525512695,50.051902770996094,56.35374450683594,72.57660675048828,88.4148178100586
