,Column,Average
0,Close+1M,8.242503022974606
1,Close+2M,16.644674376141207
2,Close+3M,28.283323152107517
3,Close+4M,28.278479460453706
4,Close+5M,37.26354102405922
5,Close+6M,43.73350515463917
6,Close+7M,46.36829109811566
7,Close+8M,57.55476660092044
8,Close+9M,71.35270448548813
9,Close+10M,81.77476821192053
10,Close+11M,94.58348930481283
11,Close+12M,110.63071763916834
12,Close+13M,112.54080808080806
13,Close+14M,124.39986403806935
14,Close+15M,132.53392857142856
15,Close+16M,124.5904432132964
16,Close+17M,135.53420126671355
17,Close+18M,141.88894401133948
18,Close+19M,147.03437945791728
19,Close+20M,151.91365923795829
20,Close+21M,137.11298701298702
21,Close+22M,132.9313995649021
22,Close+23M,128.28750913075237
23,Close+24M,132.62062911485006
24,Close+25M,128.18013245033112
25,Close+26M,114.70157303370785
26,Close+27M,110.14139744552969
27,Close+28M,111.40489457831326
28,Close+29M,122.45144376899697
29,Close+30M,114.12616323417238
30,Close+31M,115.63389570552148
31,Close+32M,125.23010835913311
32,Close+33M,119.08581395348835
33,Close+34M,126.57279812938425
34,Close+35M,124.22900158478605
35,Close+36M,121.41012048192769
36,Close+37M,126.28602584814217
37,Close+38M,131.55955882352944
38,Close+39M,139.0710156895128
39,Close+40M,141.92794612794611
40,Close+41M,137.95103510351035
41,Close+42M,133.4461328480437
42,Close+43M,129.6061739943873
43,Close+44M,136.79971401334603
44,Close+45M,149.8715250965251
45,Close+46M,149.98669275929552
46,Close+47M,158.97271815446337
47,Close+48M,167.38584428715876
