ticker,DropDate,Close,PctChange,up_10.0%_from_drop_date,price_at_up,Days_to_be_up_10.0%_from_drop
CCL,2020-04-08,11.99,-25.43%,2020-04-28,14.460000038146973,20
CCL,2022-06-15,9.84,-23.33%,2022-06-24,10.850000381469727,9
CCL,2022-06-16,8.75,-25.15%,2022-06-23,9.649999618530273,7
CCL,2022-06-17,9.6,-24.53%,2022-06-24,10.850000381469727,7
CCL,2022-06-21,9.57,-20.4%,2022-06-24,10.850000381469727,3
CCL,2022-10-06,6.98,-21.73%,2022-10-18,8.079999923706055,12
CF,2020-03-12,21.36,-20.25%,2020-03-13,24.209211349487305,1
CF,2020-03-13,24.21,-25.06%,2020-04-09,27.121660232543945,27
CF,2020-03-16,20.99,-26.09%,2020-03-25,23.631967544555664,9
CF,2020-03-17,21.12,-26.72%,2020-03-25,23.631967544555664,8
CF,2020-03-18,18.49,-26.46%,2020-03-24,22.407508850097656,6
CF,2020-03-19,20.1,-20.83%,2020-03-24,22.407508850097656,5
CFG,2020-03-12,16.53,-23.41%,2020-03-13,18.409461975097656,1
CFG,2020-03-13,18.41,-24.37%,2020-05-27,20.2951717376709,75
CFG,2020-03-16,14.4,-21.76%,2020-03-26,16.121896743774414,10
CFG,2020-03-17,14.87,-23.08%,2020-04-09,17.20343780517578,23
CFG,2020-03-18,11.92,-24.3%,2020-03-19,13.515318870544434,1
CFG,2020-03-19,13.52,-22.17%,2020-03-26,16.121896743774414,7
CFG,2020-03-20,13.63,-24.56%,2020-03-26,16.121896743774414,6
CFG,2020-03-23,12.35,-24.05%,2020-03-24,13.849891662597656,1
CFG,2020-03-24,13.85,-20.77%,2020-03-26,16.121896743774414,2
CHTR,2024-02-08,282.6,-21.64%,2024-07-12,311.0400085449219,155
CHTR,2024-02-09,291.15,-20.69%,2024-07-15,324.5899963378906,157
CINF,2020-05-06,46.02,-21.56%,2020-05-26,51.325897216796875,20
CINF,2020-05-07,47.66,-21.8%,2020-05-27,53.19733428955078,20
CMA,2020-03-11,28.5,-21.53%,2020-06-04,32.73279571533203,85
CMA,2020-03-12,26.67,-23.89%,2020-03-13,29.50529670715332,1
CMA,2020-03-13,29.51,-23.68%,2020-06-04,32.73279571533203,83
CMA,2023-03-14,38.08,-20.13%,2023-03-21,42.567325592041016,7
CMA,2023-03-15,39.24,-25.71%,2023-07-18,44.49910354614258,125
CMA,2023-03-16,41.67,-28.34%,2023-07-19,46.047359466552734,125
CMA,2023-03-17,38.16,-30.47%,2023-03-21,42.567325592041016,4
CMA,2023-03-20,39.01,-23.31%,2023-07-13,43.07541275024414,115
CME,2020-03-18,115.53,-22.16%,2020-03-20,128.00328063964844,2
CME,2020-03-19,125.43,-20.07%,2020-03-26,141.279541015625,7
CNC,2025-07-07,33.05,-21.4%,2025-10-02,36.81999969482422,87
CNC,2025-07-08,32.6,-29.7%,2025-10-02,36.81999969482422,86
CNC,2025-07-09,33.09,-39.03%,2025-10-02,36.81999969482422,85
CNC,2025-07-10,32.52,-34.76%,2025-10-02,36.81999969482422,84
CNC,2025-07-11,31.44,-29.87%,2025-09-24,34.650001525878906,75
CNC,2025-07-14,30.64,-24.06%,2025-09-11,34.08000183105469,59
CNP,2020-03-12,12.85,-21.95%,2020-04-08,14.536432266235352,27
CNP,2020-03-13,13.44,-26.17%,2020-04-09,15.392024993896484,27
CNP,2020-03-16,10.79,-27.39%,2020-03-17,12.661042213439941,1
CNP,2020-03-17,12.66,-28.22%,2020-03-27,14.087026596069336,10
CNP,2020-03-18,10.78,-29.0%,2020-03-25,13.075873374938965,7
CNP,2020-03-19,10.57,-25.81%,2020-03-24,11.779521942138672,5
CNP,2020-03-20,10.79,-24.18%,2020-03-25,13.075873374938965,5
CNX,2015-09-29,7.82,-21.09%,2015-10-05,8.926701545715332,6
CNX,2015-10-28,5.88,-20.2%,2015-11-02,6.4997029304504395,5
CNX,2015-10-29,5.63,-23.8%,2015-11-02,6.4997029304504395,4
CNX,2015-10-30,5.54,-27.2%,2015-11-02,6.4997029304504395,3
CNX,2015-11-02,6.5,-26.87%,2015-12-01,7.198336124420166,29
CNX,2016-01-15,4.15,-23.41%,2016-01-21,5.026352405548096,6
CNX,2016-01-19,4.29,-25.11%,2016-01-21,5.026352405548096,2
CNX,2016-01-20,4.22,-25.83%,2016-01-21,5.026352405548096,1
CNX,2016-01-21,5.03,-22.59%,2016-01-27,5.592233180999756,6
COF,2020-03-17,49.01,-22.26%,2020-04-09,54.63990020751953,23
COF,2020-03-18,40.27,-25.65%,2020-03-24,46.27711486816406,6
COF,2020-03-19,42.05,-26.03%,2020-03-24,46.27711486816406,5
COF,2020-03-20,40.91,-31.83%,2020-03-24,46.27711486816406,4
COF,2020-03-23,38.97,-32.0%,2020-03-24,46.27711486816406,1
COF,2020-03-24,46.28,-27.71%,2020-03-26,52.603736877441406,2
COL,2015-10-28,0.35,-20.45%,2015-10-30,0.4000000059604645,2
COL,2016-01-14,0.2,-25.81%,2016-01-15,0.25,1
COL,2016-01-15,0.25,-23.33%,2016-03-04,0.3499999940395355,49
COL,2016-01-19,0.25,-20.69%,2016-03-04,0.3499999940395355,45
COL,2016-02-18,0.15,-22.73%,2016-02-23,0.20000000298023224,5
COL,2016-02-19,0.15,-23.81%,2016-02-23,0.20000000298023224,4
COL,2016-02-22,0.15,-25.0%,2016-02-23,0.20000000298023224,1
COL,2016-06-08,0.15,-24.21%,2016-07-06,0.20499999821186066,28
COL,2016-06-09,0.14,-21.11%,2016-07-06,0.20499999821186066,27
COP,2020-03-12,23.02,-27.94%,2020-03-13,25.61165428161621,1
COP,2020-03-13,25.61,-32.83%,2020-04-08,29.1212100982666,26
COP,2020-03-16,21.29,-31.85%,2020-03-24,25.08930015563965,8
COP,2020-03-17,21.42,-31.66%,2020-03-24,25.08930015563965,7
COP,2020-03-18,18.5,-30.82%,2020-03-19,20.885984420776367,1
COP,2020-03-19,20.89,-24.61%,2020-03-24,25.08930015563965,5
COP,2020-03-20,21.91,-20.9%,2020-03-24,25.08930015563965,4
COTY,2018-11-13,7.61,-22.77%,2018-11-16,8.47937297821045,3
COTY,2020-03-17,5.45,-22.43%,2020-03-26,6.679999828338623,9
COTY,2020-03-18,3.74,-28.18%,2020-03-20,4.480000019073486,2
COTY,2020-03-19,4.02,-29.25%,2020-03-20,4.480000019073486,1
COTY,2020-03-20,4.48,-36.52%,2020-03-23,5.150000095367432,3
COTY,2020-03-23,5.15,-35.55%,2020-03-26,6.679999828338623,3
COTY,2020-03-24,5.1,-31.6%,2020-03-26,6.679999828338623,2
COTY,2020-05-15,3.29,-24.08%,2020-05-22,3.75,7
COTY,2020-05-18,3.42,-27.85%,2020-05-26,4.28000020980835,8
COTY,2020-05-19,3.25,-29.63%,2020-05-22,3.75,3
